Afghanistan: Kabul
Albania: Tirana
Algeria: Algiers
Andorra: Andorra_la_Vella
Angola: Luanda
Antigua_and_Barbuda: Saint_John's
Argentina: Buenos_Aires
Armenia: Yerevan
Australia: Canberra
Austria: Vienna
Azerbaijan: Baku
Bahamas: Nassau
Bahrain: Manama
Bangladesh: Dhaka
Barbados: Bridgetown
Belarus: Minsk
Belgium: Brussels
Belize: Belmopan
Benin: Porto-Novo
Bhutan: Thimphu
Bolivia: La_Paz (administrative); Sucre (judicial)
Bosnia_and_Herzegovina: Sarajevo
Botswana: Gaborone
Brazil: Brasilia
Brunei: Bandar_Seri_Begawan
Bulgaria: Sofia
Burkina_Faso: Ouagadougou
Burundi: Gitega (changed from Bujumbura in December 2018)
Cambodia: Phnom_Penh
Cameroon: Yaounde
Canada: Ottawa
Cape_Verde: Praia
Central_African_Republic: Bangui
Chad: N'Djamena
Chile: Santiago
China: Beijing
Colombia: Bogota
Comoros: Moroni
Congo_Republic_of_the: Brazzaville
Congo_Democratic_Republic_of_the: Kinshasa
Costa_Rica: San_Jose
Cote_d'Ivoire: Yamoussoukro (official); Abidjan (de facto)
Croatia: Zagreb
Cuba: Havana
Cyprus: Nicosia
Czech_Republic: Prague
Denmark: Copenhagen
Djibouti: Djibouti
Dominica: Roseau
Dominican_Republic: Santo_Domingo
East_Timor_(Timor-Leste): Dili
Ecuador: Quito
Egypt: Cairo
El_Salvador: San_Salvador
Equatorial_Guinea: Malabo
Eritrea: Asmara
Estonia: Tallinn
Ethiopia: Addis_Ababa
Fiji: Suva
Finland: Helsinki
France: Paris
Gabon: Libreville
The_Gambia: Banjul
Georgia: Tbilisi
Germany: Berlin
Ghana: Accra
Greece: Athens
Grenada: Saint_George's
Guatemala: Guatemala_City
Guinea: Conakry
Guinea-Bissau: Bissau
Guyana: Georgetown
Haiti: Port-au-Prince
Honduras: Tegucigalpa
Hungary: Budapest
Iceland: Reykjavik
India: New_Delhi
Indonesia: Jakarta
Iran: Tehran
Iraq: Baghdad
Ireland: Dublin
Israel: Jerusalem*
Italy: Rome
Jamaica: Kingston
Japan: Tokyo
Jordan: Amman
Kazakhstan: Nur-Sultan
Kenya: Nairobi
Kiribati: Tarawa_Atoll
Korea_North: Pyongyang
Korea_South: Seoul
Kosovo: Pristina
Kuwait: Kuwait_City
Kyrgyzstan: Bishkek
Laos: Vientiane
Latvia: Riga
Lebanon: Beirut
Lesotho: Maseru
Liberia: Monrovia
Libya: Tripoli
Liechtenstein: Vaduz
Lithuania: Vilnius
Luxembourg: Luxembourg
Macedonia: Skopje
Madagascar: Antananarivo
Malawi: Lilongwe
Malaysia: Kuala_Lumpur
Maldives: Male
Mali: Bamako
Malta: Valletta
Marshall_Islands: Majuro
Mauritania: Nouakchott
Mauritius: Port_Louis
Mexico: Mexico_City
Micronesia_Federated_States_of: Palikir
Moldova: Chisinau
Monaco: Monaco
Mongolia: Ulaanbaatar
Montenegro: Podgorica
Morocco: Rabat
Mozambique: Maputo
Myanmar: Rangoon (Yangon); Naypyidaw or Nay Pyi Taw (administrative)
Namibia: Windhoek
Nauru: no_official_capital; government offices in Yaren District
Nepal: Kathmandu
Netherlands: Amsterdam; The Hague (seat of government)
New_Zealand: Wellington
Nicaragua: Managua
Niger: Niamey
Nigeria: Abuja
Norway: Oslo
Oman: Muscat
Pakistan: Islamabad
Palau: Melekeok
Panama: Panama_City
Papua_New_Guinea: Port_Moresby
Paraguay: Asuncion
Peru: Lima
Philippines: Manila
Poland: Warsaw
Portugal: Lisbon
Qatar: Doha
Romania: Bucharest
Russia: Moscow
Rwanda: Kigali
Saint_Kitts_and-Nevis: Basseterre
Saint-Lucia: Castries
Saint_Vincent_and_the_Grenadines: Kingstown
Samoa: Apia
San_Marino: San_Marino
Sao_Tome_and_Principe: Sao_Tome
Saudi_Arabia: Riyadh
Senegal: Dakar
Serbia: Belgrade
Seychelles: Victoria
Sierra_Leone: Freetown
Singapore: Singapore
Slovakia: Bratislava
Slovenia: Ljubljana
Solomon_Islands: Honiara
Somalia: Mogadishu
South_Africa: Pretoria (administrative); Cape Town (legislative); Bloemfontein (judiciary)
South_Sudan: Juba 
Spain: Madrid
Sri_Lanka: Colombo; Sri Jayewardenepura Kotte (legislative)
Sudan: Khartoum
Suriname: Paramaribo
Swaziland: Mbabane
Sweden: Stockholm
Switzerland: Bern
Syria: Damascus
Taiwan: Taipei
Tajikistan: Dushanbe
Tanzania: Dar_es_Salaam; Dodoma (legislative)
Thailand: Bangkok
Togo: Lome
Tonga: Nuku'alofa
Trinidad_and_Tobago: Port-of-Spain
Tunisia: Tunis
Turkey: Ankara
Turkmenistan: Ashgabat
Tuvalu: Vaiaku_village, Funafuti province
Uganda: Kampala
Ukraine: Kyiv
United_Arab_Emirates: Abu Dhabi
United_Kingdom: London
United_States_of_America: Washington_D.C.
Uruguay: Montevideo
Uzbekistan: Tashkent
Vanuatu: Port-Vila
Vatican_City_(Holy_See): Vatican_City
Venezuela: Caracas
Vietnam: Hanoi
Yemen: Sanaa
Zambia: Lusaka
Zimbabwe: Harare
